region,window,group,q,point,lo,hi,n
dmn_within,100,"('Dp1Yey', 'LCTB92')",1.0,0.42660404205322267,0.4235115051269531,0.4318718349933624,388
dmn_within,100,"('Dp1Yey', 'LCTB92')",5.0,0.4424657613039017,0.43460796773433685,0.44558091163635255,388
dmn_within,100,"('Dp1Yey', 'LCTB92')",50.0,0.48917055130004883,0.48674568235874177,0.4909963011741638,388
dmn_within,100,"('Dp1Yey', 'LCTB92')",95.0,0.520496666431427,0.5107556272670627,0.5245268046855927,388
dmn_within,100,"('Dp1Yey', 'LCTB92')",99.0,0.5267779007554054,0.5253133377432823,0.5281472206115723,388
dmn_within,100,"('Dp1Yey', 'VEH')",1.0,0.48398011684417724,0.45995640754699707,0.4927924871444702,388
dmn_within,100,"('Dp1Yey', 'VEH')",5.0,0.500154247879982,0.49744262397289274,0.5034691158682107,388
dmn_within,100,"('Dp1Yey', 'VEH')",50.0,0.5436653792858124,0.5372768044471741,0.5464441031217575,388
dmn_within,100,"('Dp1Yey', 'VEH')",95.0,0.5899822697043419,0.5730811837315558,0.6109738290309905,388
dmn_within,100,"('Dp1Yey', 'VEH')",99.0,0.6216438141465187,0.615331381559372,0.6282814741134644,388
dmn_within,100,"('Dp1Yey', 'LCTB92')",1.0,0.19931215167045593,0.19765669107437134,0.20055976152420044,788
dmn_within,100,"('Dp1Yey', 'LCTB92')",5.0,0.20391681492328645,0.20259355008602142,0.2053024172782898,788
dmn_within,100,"('Dp1Yey', 'LCTB92')",50.0,0.27255579829216003,0.2658368647098541,0.2924523651599884,788
dmn_within,100,"('Dp1Yey', 'LCTB92')",95.0,0.36000413596630093,0.3516343680024147,0.3715989589691162,788
dmn_within,100,"('Dp1Yey', 'LCTB92')",99.0,0.3788896286487579,0.378438258767128,0.38150233030319214,788
dmn_within,100,"('Dp1Yey', 'VEH')",1.0,0.35472863137722016,0.35311113953590395,0.35614527626335624,788
dmn_within,100,"('Dp1Yey', 'VEH')",5.0,0.3676018834114075,0.35966795682907104,0.38081166744232176,788
dmn_within,100,"('Dp1Yey', 'VEH')",50.0,0.4383782148361206,0.4346610903739929,0.44137004539370533,788
dmn_within,100,"('Dp1Yey', 'VEH')",95.0,0.5291665345430374,0.5212470591068268,0.5336176246404648,788
dmn_within,100,"('Dp1Yey', 'VEH')",99.0,0.5476621541380883,0.5449042014181614,0.5510888355970383,788
dmn_within,10,"('Dp1Yey', 'LCTB92')",1.0,0.677059362232685,0.6539088249206543,0.6853605207800865,1468
dmn_within,10,"('Dp1Yey', 'LCTB92')",5.0,0.7343596428632736,0.7236324957385659,0.7418068693205715,1468
dmn_within,10,"('Dp1Yey', 'LCTB92')",50.0,0.863354817032814,0.8585862666368484,0.8669972192496062,1468
dmn_within,10,"('Dp1Yey', 'LCTB92')",95.0,0.9904844844248145,0.9858570704236627,0.9963697508539189,1468
dmn_within,10,"('Dp1Yey', 'LCTB92')",99.0,1.0232320316322148,1.014808378815651,1.0288727724738418,1468
dmn_within,10,"('Dp1Yey', 'VEH')",1.0,0.7228276813030243,0.7069228781834245,0.7384751439094543,1468
dmn_within,10,"('Dp1Yey', 'VEH')",5.0,0.7964485585689545,0.7832407433353364,0.804244589060545,1468
dmn_within,10,"('Dp1Yey', 'VEH')",50.0,0.9331754893064499,0.929660826921463,0.9369626231491566,1468
dmn_within,10,"('Dp1Yey', 'VEH')",95.0,1.0102322429884225,1.0078654224053025,1.0151752733334434,1468
dmn_within,10,"('Dp1Yey', 'VEH')",99.0,1.0343227266892792,1.0280734043568374,1.0464423167333001,1468
dmn_within,10,"('Dp1Yey', 'LCTB92')",1.0,0.39777544379234314,0.39219036340713503,0.40576799631118776,1868
dmn_within,10,"('Dp1Yey', 'LCTB92')",5.0,0.4699211061000824,0.4456620216369629,0.49832814931869507,1868
