region,window,A,B,q,diff,lo,hi,significant,n_a,n_b
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",5.0,nan,nan,nan,False,367,0
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",50.0,nan,nan,nan,False,367,0
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",95.0,nan,nan,nan,False,367,0
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",99.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,nan,nan,nan,False,367,0
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",1.0,-0.04082831919193264,-0.10864195598661901,0.014747238114476155,False,367,367
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",5.0,0.00030099153518670096,-0.04911563128232956,0.03764485888183114,False,367,367
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",50.0,0.04789724946022034,0.025847576558589935,0.07204279638826847,True,367,367
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",95.0,0.0013575010001660726,-0.03197310629300769,0.030507395770400566,False,367,367
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",99.0,-0.013121282458304906,-0.10734945405274629,0.03250753045082089,False,367,367
shared,10,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",1.0,nan,nan,nan,False,0,0
shared,10,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",5.0,nan,nan,nan,False,0,0
shared,10,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",50.0,nan,nan,nan,False,0,0
shared,10,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",95.0,nan,nan,nan,False,0,0
shared,10,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",99.0,nan,nan,nan,False,0,0
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",1.0,0.11518030107021332,0.09815826538205147,0.13370692181587218,True,5604,6538
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",5.0,0.09253381788730619,0.07803671531379218,0.10909588199108838,True,5604,6538
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",50.0,0.035759083926677704,0.031218328699469566,0.04098272267729043,True,5604,6538
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",95.0,0.010329388664103933,0.005460754575906302,0.014488324266858412,True,5604,6538
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",99.0,0.009027072321623697,0.001087742036674172,0.015992648045765258,True,5604,6538
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,-0.0036490821838378595,-0.02725420081615446,0.02964883285760879,False,5137,5137
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.016772806644439697,-0.0006722731888294224,0.0296835757791996,False,5137,5137
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.010981619358062744,0.005739045888185501,0.01709305942058563,True,5137,5137
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,-0.010890032351016932,-0.015774761401116784,-0.005748379696160556,True,5137,5137
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,-0.018361843738239347,-0.026277907056733885,-0.00971334220329207,True,5137,5137
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",1.0,0.08199154078960419,0.059700347736477824,0.10435202866792678,True,5604,5137
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",5.0,0.04119942039251334,0.029040269888937494,0.0585450413823128,True,5604,5137
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",50.0,0.039575375616550446,0.03499564193189144,0.04474240392446518,True,5604,5137
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",95.0,0.031829911307431624,0.02809346008580178,0.03619552787800778,True,5604,5137
shared,10,"('WT', 'VEH')","('Dp1Yey', 'VEH')",99.0,0.029812295853625992,0.020246916127391146,0.03751800064463169,True,5604,5137
shared,10,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",1.0,-0.03683784246444699,-0.05850251817703248,-0.009977906405925762,True,6538,5137
shared,10,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",5.0,-0.03456159085035315,-0.05058769747614863,-0.020597113370895353,True,6538,5137
shared,10,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",50.0,0.014797911047935486,0.009102584980428218,0.020622629672288895,True,6538,5137
