region,window,group,q,point,lo,hi,n
shared,10,"('WT', 'VEH')",95.0,1.0666793890297412,1.043121512979269,1.078310415148735,367
shared,10,"('WT', 'VEH')",99.0,1.1238138365745542,1.089457287378609,1.158976823091507,367
shared,10,"('Dp1Yey', 'LCTB92')",1.0,0.45037242650985715,0.42884493350982666,0.46524351835250854,5137
shared,10,"('Dp1Yey', 'LCTB92')",5.0,0.574774420261383,0.5648096323013305,0.5855964422225952,5137
shared,10,"('Dp1Yey', 'LCTB92')",50.0,0.815873920917511,0.8113693445920944,0.8193654146045446,5137
shared,10,"('Dp1Yey', 'LCTB92')",95.0,0.9718079835176467,0.9679303750395775,0.9752066693734378,5137
shared,10,"('Dp1Yey', 'LCTB92')",99.0,1.0183690021932128,1.014006232842803,1.0238784139603379,5137
shared,10,"('Dp1Yey', 'VEH')",1.0,0.4467233443260193,0.42688852548599243,0.4633138942718506,5137
shared,10,"('Dp1Yey', 'VEH')",5.0,0.5915472269058227,0.5796829409897327,0.6007000386714936,5137
shared,10,"('Dp1Yey', 'VEH')",50.0,0.8268555402755737,0.82277437672019,0.8300291299819946,5137
shared,10,"('Dp1Yey', 'VEH')",95.0,0.9609179511666298,0.9568736419081687,0.9640335962176323,5137
shared,10,"('Dp1Yey', 'VEH')",99.0,1.0000071584549735,0.9937006691284478,1.0076456322707241,5137
shared,10,"('WT', 'LCTB92')",1.0,0.41353458404541016,0.3982089161872864,0.4248571991920471,6538
shared,10,"('WT', 'LCTB92')",5.0,0.5402128294110299,0.5284598658606411,0.5491996467113495,6538
shared,10,"('WT', 'LCTB92')",50.0,0.8306718319654465,0.8266218472272158,0.8340512376278639,6538
shared,10,"('WT', 'LCTB92')",95.0,0.9824184738099575,0.9790019798791036,0.9866363858338445,6538
shared,10,"('WT', 'LCTB92')",99.0,1.0207923819869757,1.015422960743308,1.0274067353457212,6538
shared,10,"('WT', 'VEH')",1.0,0.5287148851156235,0.5156815350055695,0.5417878031730652,5604
shared,10,"('WT', 'VEH')",5.0,0.6327466472983361,0.6236862481385469,0.6442331663891673,5604
shared,10,"('WT', 'VEH')",50.0,0.8664309158921242,0.8632519543170929,0.8697476858273149,5604
shared,10,"('WT', 'VEH')",95.0,0.9927478624740614,0.990525225875899,0.9951517020352184,5604
shared,10,"('WT', 'VEH')",99.0,1.0298194543085994,1.0241407228531316,1.0357252545654774,5604
shared,11,"('Dp1Yey', 'LCTB92')",1.0,nan,nan,nan,0
shared,11,"('Dp1Yey', 'LCTB92')",5.0,nan,nan,nan,0
shared,11,"('Dp1Yey', 'LCTB92')",50.0,nan,nan,nan,0
shared,11,"('Dp1Yey', 'LCTB92')",95.0,nan,nan,nan,0
shared,11,"('Dp1Yey', 'LCTB92')",99.0,nan,nan,nan,0
shared,11,"('Dp1Yey', 'VEH')",1.0,0.48541474997997286,0.47145968675613403,0.5281552672386169,364
shared,11,"('Dp1Yey', 'VEH')",5.0,0.5734978646039963,0.5332510635256767,0.596765810251236,364
shared,11,"('Dp1Yey', 'VEH')",50.0,0.798728734254837,0.7725202366709709,0.8175450520589947,364
shared,11,"('Dp1Yey', 'VEH')",95.0,1.0209709308110175,0.9976310725789516,1.0600483445450661,364
shared,11,"('Dp1Yey', 'VEH')",99.0,1.128138834834099,1.0797453151643277,1.1754042655229568,364
shared,11,"('WT', 'LCTB92')",1.0,nan,nan,nan,0
shared,11,"('WT', 'LCTB92')",5.0,nan,nan,nan,0
shared,11,"('WT', 'LCTB92')",50.0,nan,nan,nan,0
shared,11,"('WT', 'LCTB92')",95.0,nan,nan,nan,0
shared,11,"('WT', 'LCTB92')",99.0,nan,nan,nan,0
shared,11,"('WT', 'VEH')",1.0,0.44408981800079345,0.3825949430465698,0.546057939529419,364
shared,11,"('WT', 'VEH')",5.0,0.5689144387841225,0.5555332347750663,0.6074571030586958,364
shared,11,"('WT', 'VEH')",50.0,0.858432836830616,0.8386300280690193,0.8815896920859814,364
shared,11,"('WT', 'VEH')",95.0,1.0540341960266233,1.0287127904593945,1.0752005632966757,364
shared,11,"('WT', 'VEH')",99.0,1.117955355644226,1.07938452064991,1.1680132448673248,364
shared,11,"('Dp1Yey', 'LCTB92')",1.0,0.4254617261886597,0.4128910659402609,0.44839217185974123,5104
shared,11,"('Dp1Yey', 'LCTB92')",5.0,0.554512719810009,0.5453440215066075,0.5654711812734604,5104
shared,11,"('Dp1Yey', 'LCTB92')",50.0,0.7964100763201714,0.7920326562598348,0.8010909942910075,5104
shared,11,"('Dp1Yey', 'LCTB92')",95.0,0.9574268793687224,0.9535854831337929,0.9617688981816173,5104
shared,11,"('Dp1Yey', 'LCTB92')",99.0,1.0084878652635965,1.0021913754241543,1.01735994592309,5104
shared,11,"('Dp1Yey', 'VEH')",1.0,0.4235637724399567,0.41153807725012304,0.4445766907930374,5104
shared,11,"('Dp1Yey', 'VEH')",5.0,0.5682246461510658,0.5548041930049658,0.5799496783688664,5104
shared,11,"('Dp1Yey', 'VEH')",50.0,0.811404399573803,0.8062700778245926,0.8148452490568161,5104
shared,11,"('Dp1Yey', 'VEH')",95.0,0.9494832891970872,0.9458266703039407,0.9543059930205344,5104
shared,11,"('Dp1Yey', 'VEH')",99.0,0.9898805686365817,0.9845577997784131,0.9961254128720611,5104
shared,11,"('WT', 'LCTB92')",1.0,0.38695780634880067,0.3702959418296814,0.39620824456214904,6496
shared,11,"('WT', 'LCTB92')",5.0,0.5091224163770676,0.4963374584913254,0.5194357547909021,6496
shared,11,"('WT', 'LCTB92')",50.0,0.8118155971169472,0.8077100217342377,0.8153723254799843,6496
shared,11,"('WT', 'LCTB92')",95.0,0.9732296299189329,0.9702210798859596,0.9767318861559033,6496
shared,11,"('WT', 'LCTB92')",99.0,1.0142666528932751,1.0100315612275153,1.020163301192224,6496
shared,11,"('WT', 'VEH')",1.0,0.5034323310852051,0.4887587767839432,0.517940733730793,5568
