region,window,A,B,q,diff,lo,hi,significant,n_a,n_b
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,-0.21204416036605833,-0.2247930251806974,-0.18719560238718988,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,-0.19568529129028311,-0.22840816650539641,-0.15323452278971667,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,-0.04822040721774101,-0.08923004195094109,-0.020532988011837006,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,-0.028913623094558805,-0.09330286979675306,0.028764330297708484,False,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.009336613416671913,-0.07696948707103757,0.04778699040412904,False,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,-0.18257932662963866,-0.1991233706474304,-0.16895327931642534,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,-0.17747424840927123,-0.1995944857597351,-0.15821667432785033,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,-0.2260207235813141,-0.2696850895881653,-0.20421364903450012,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,-0.4323680624365807,-0.44567148182541133,-0.39733760759234416,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,-0.417148838043213,-0.43523083686828623,-0.4029256916046142,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.0789261138439179,0.05190351605415344,0.10854629158973694,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.08023999929428105,0.06311807215213776,0.09807738840579977,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.13075664639472961,0.1028795838356018,0.15276174247264862,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.30880218744277943,0.2863621644675731,0.34529079072177393,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.35015901356935464,0.3036466824710369,0.4119146820902825,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.03676498413085938,0.015444355010986344,0.09968303680419921,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.0314927935600281,0.005980510115623496,0.05177723169326781,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.031079351902008057,0.010260483622550965,0.04908829927444458,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.028475177288055376,0.005909193903207802,0.06782676249742517,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.04705688953399678,-0.002240172624588088,0.0707456243038177,False,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.12075018167495727,0.10841170495748519,0.14117594957351687,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.1239102482795715,0.11072980016469955,0.16934189289808269,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.29783371090888977,0.23538261651992798,0.32516998052597046,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.19950077533721944,0.1742720149457456,0.22241568565368647,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.18581614136695845,0.16948327943682664,0.21794365525245685,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.03244649648666381,0.01406267642974851,0.04852470564842221,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.026560437679290783,0.007790850400924661,0.0533290758728981,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,-0.046267420053482056,-0.08068892359733582,-0.012060374021530151,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.05023025274276738,0.0035464465618133545,0.07654222846031189,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.020579420328140197,0.0033795285224914595,0.06972721695899997,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.2987568485736847,0.2644333279132843,0.31118844866752626,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.30348174571990966,0.28451423197984693,0.3129425883293152,True,97,97
