region,window,group,q,point,lo,hi,n
regions400,100,"('Dp1Yey', 'LCTB92')",1.0,0.6638764262199401,0.6598963141441345,0.6794128274917602,97
regions400,100,"('Dp1Yey', 'LCTB92')",5.0,0.6789800465106964,0.6686611711978913,0.7075971961021423,97
regions400,100,"('Dp1Yey', 'LCTB92')",50.0,0.7694768011569977,0.7515349090099335,0.794121578335762,97
regions400,100,"('Dp1Yey', 'LCTB92')",95.0,0.9145378619432449,0.8871756985783577,0.934712583571672,97
regions400,100,"('Dp1Yey', 'LCTB92')",99.0,0.965298112630844,0.9146779939532279,0.9769008159637451,97
regions400,100,"('Dp1Yey', 'VEH')",1.0,0.7832739478349686,0.7752530127763748,0.8011192560195923,97
regions400,100,"('Dp1Yey', 'VEH')",5.0,0.8015370696783066,0.7863366514444351,0.8299617257714268,97
regions400,100,"('Dp1Yey', 'VEH')",50.0,1.0158557314425707,0.9701741170138121,1.0550925470888615,97
regions400,100,"('Dp1Yey', 'VEH')",95.0,1.3085820138454436,1.2947600960731507,1.3311837553977965,97
regions400,100,"('Dp1Yey', 'VEH')",99.0,1.3339051020145416,1.3089048349857328,1.3365329802036285,97
regions400,100,"('Dp1Yey', 'LCTB92')",1.0,0.3854824924468994,0.3527953624725342,0.4032088661193848,97
regions400,100,"('Dp1Yey', 'LCTB92')",5.0,0.40258207321166994,0.3892154335975647,0.4153343677520752,97
regions400,100,"('Dp1Yey', 'LCTB92')",50.0,0.5280384421348572,0.5105564296245575,0.5764823392033577,97
regions400,100,"('Dp1Yey', 'LCTB92')",95.0,0.6873799622058868,0.6562605738639831,0.6987359464168548,97
regions400,100,"('Dp1Yey', 'LCTB92')",99.0,0.7048704099655151,0.6874658167362213,0.7058969736099243,97
regions400,100,"('Dp1Yey', 'VEH')",1.0,0.34809117078781127,0.3423101305961609,0.39005631667375557,97
regions400,100,"('Dp1Yey', 'VEH')",5.0,0.3891983985900879,0.35073707103729246,0.41673779487609863,97
regions400,100,"('Dp1Yey', 'VEH')",50.0,0.4999191164970398,0.478687584400177,0.5253055989742279,97
regions400,100,"('Dp1Yey', 'VEH')",95.0,0.6527321398258209,0.6172873079776762,0.6793277204036713,97
regions400,100,"('Dp1Yey', 'VEH')",99.0,0.6810531497001647,0.6534097492694855,0.6836399435997009,97
regions400,100,"('Dp1Yey', 'LCTB92')",1.0,0.21004623174667358,0.19903558492660522,0.21778658628463746,97
regions400,100,"('Dp1Yey', 'LCTB92')",5.0,0.21789501905441283,0.21198678016662598,0.2317536473274231,97
regions400,100,"('Dp1Yey', 'LCTB92')",50.0,0.2898954749107361,0.27649974822998047,0.30385416746139526,97
regions400,100,"('Dp1Yey', 'LCTB92')",95.0,0.39824362993240353,0.3834236145019531,0.40521465539932244,97
regions400,100,"('Dp1Yey', 'LCTB92')",99.0,0.4094701933860779,0.39810495853424066,0.4122752547264099,97
regions400,100,"('Dp1Yey', 'VEH')",1.0,0.25820138931274417,0.25513219833374023,0.2718876624107361,97
regions400,100,"('Dp1Yey', 'VEH')",5.0,0.2705118179321289,0.2587335824966431,0.2857810378074646,97
regions400,100,"('Dp1Yey', 'VEH')",50.0,0.37328606843948364,0.36266785860061646,0.3893759250640869,97
regions400,100,"('Dp1Yey', 'VEH')",95.0,0.5044520735740662,0.4855005145072937,0.5313519716262817,97
regions400,100,"('Dp1Yey', 'VEH')",99.0,0.5368421924114226,0.504663743972778,0.544643372297287,97
regions400,100,"('Dp1Yey', 'LCTB92')",1.0,0.1865592908859253,0.18293797969818115,0.19870089769363403,97
regions400,100,"('Dp1Yey', 'LCTB92')",5.0,0.19774577617645264,0.186890709400177,0.2190536218881607,97
regions400,100,"('Dp1Yey', 'LCTB92')",50.0,0.26781290769577026,0.2570107579231262,0.2717803716659546,97
regions400,100,"('Dp1Yey', 'LCTB92')",95.0,0.31578589677810665,0.30616391897201534,0.32490892410278316,97
regions400,100,"('Dp1Yey', 'LCTB92')",99.0,0.32755337715148924,0.31560586625337594,0.3276989459991455,97
regions400,100,"('Dp1Yey', 'VEH')",1.0,0.36220929861068724,0.36008161306381226,0.3764259123802185,97
regions400,100,"('Dp1Yey', 'VEH')",5.0,0.37631351947784425,0.3633988738059998,0.3916459560394287,97
regions400,100,"('Dp1Yey', 'VEH')",50.0,0.4342457056045532,0.4213768243789673,0.4471948742866516,97
regions400,100,"('Dp1Yey', 'VEH')",95.0,0.5330087542533875,0.48625462204217884,0.6000468611717223,97
regions400,100,"('Dp1Yey', 'VEH')",99.0,0.6054651033878325,0.5339890122413635,0.612419992685318,97
regions400,100,"('Dp1Yey', 'LCTB92')",1.0,0.2144501757621765,0.21414679288864136,0.2745747971534729,97
regions400,100,"('Dp1Yey', 'LCTB92')",5.0,0.2728932619094849,0.22489196062088013,0.31128615558147416,97
regions400,100,"('Dp1Yey', 'LCTB92')",50.0,0.4299700856208801,0.4175705313682556,0.44860661029815674,97
regions400,100,"('Dp1Yey', 'LCTB92')",95.0,0.5301752865314481,0.4870649039745329,0.5995908737182617,97
regions400,100,"('Dp1Yey', 'LCTB92')",99.0,0.6046963584423064,0.5276274979114529,0.6172954738140106,97
regions400,100,"('Dp1Yey', 'VEH')",1.0,0.7778396618366241,0.771597295999527,0.7984291824102402,97
regions400,100,"('Dp1Yey', 'VEH')",5.0,0.7976415783166886,0.7837611764669419,0.807237033471465,97
