region,window,group,q,point,lo,hi,n
dmn_within,100,"('Dp1Yey', 'LCTB92')",1.0,0.2211701226234436,0.21744638681411743,0.223807398468256,8668
dmn_within,100,"('Dp1Yey', 'LCTB92')",5.0,0.24803043007850648,0.24698662757873535,0.24925434589385986,8668
dmn_within,100,"('Dp1Yey', 'LCTB92')",50.0,0.3250576853752136,0.32359722554683684,0.3269308805465698,8668
dmn_within,100,"('Dp1Yey', 'LCTB92')",95.0,0.6229987516999241,0.6106568601354956,0.6322134032845497,8668
dmn_within,100,"('Dp1Yey', 'LCTB92')",99.0,0.7018715047836304,0.6981574441790581,0.7050659427046776,8668
dmn_within,100,"('Dp1Yey', 'VEH')",1.0,0.18139636576175688,0.1763431429862976,0.19056168615818023,8668
dmn_within,100,"('Dp1Yey', 'VEH')",5.0,0.21477247774600983,0.2131542245298624,0.21642639473080635,8668
dmn_within,100,"('Dp1Yey', 'VEH')",50.0,0.32127508521080017,0.31906962022185326,0.3233554124832153,8668
dmn_within,100,"('Dp1Yey', 'VEH')",95.0,0.4611706703901291,0.4562231063842773,0.46659916639328003,8668
dmn_within,100,"('Dp1Yey', 'VEH')",99.0,0.5606305399537086,0.5437551736831665,0.5781242452412844,8668
dmn_within,100,"('WT', 'LCTB92')",1.0,0.10481485188007354,0.10338345739245415,0.10612567292153836,11032
dmn_within,100,"('WT', 'LCTB92')",5.0,0.12918940484523772,0.12753132283687593,0.13125155255198478,11032
dmn_within,100,"('WT', 'LCTB92')",50.0,0.3365948796272278,0.3326883912086487,0.34099462628364563,11032
dmn_within,100,"('WT', 'LCTB92')",95.0,0.5335371538996696,0.5293098032474516,0.5376060009002686,11032
dmn_within,100,"('WT', 'LCTB92')",99.0,0.5822260811924934,0.5792126357555389,0.5850519895553591,11032
dmn_within,100,"('WT', 'VEH')",1.0,0.16933268010616304,0.1678893029689789,0.17050418466329575,9456
dmn_within,100,"('WT', 'VEH')",5.0,0.18165938556194305,0.18044421561062335,0.1830085813999176,9456
dmn_within,100,"('WT', 'VEH')",50.0,0.3817543387413025,0.3801204562187195,0.38375982865691183,9456
dmn_within,100,"('WT', 'VEH')",95.0,0.5973296910524368,0.5912108942866325,0.6093543767929077,9456
dmn_within,100,"('WT', 'VEH')",99.0,0.6533003896474839,0.6512182012200356,0.6548204720020294,9456
dmn_within,10,"('Dp1Yey', 'LCTB92')",1.0,0.4519965201616287,0.44372820198535917,0.46100460228323936,20548
dmn_within,10,"('Dp1Yey', 'LCTB92')",5.0,0.5783455729484558,0.5729470118880272,0.5831351660564542,20548
dmn_within,10,"('Dp1Yey', 'LCTB92')",50.0,0.8161524161696434,0.8137650564312935,0.8180999413132668,20548
dmn_within,10,"('Dp1Yey', 'LCTB92')",95.0,0.969994864333421,0.9679979874938727,0.9718410062906332,20548
dmn_within,10,"('Dp1Yey', 'LCTB92')",99.0,1.0184476082772012,1.0154173141345382,1.0218048333930783,20548
dmn_within,10,"('Dp1Yey', 'VEH')",1.0,0.446619513630867,0.43783795833587646,0.4560477101802826,20548
dmn_within,10,"('Dp1Yey', 'VEH')",5.0,0.5870197638869286,0.5802990749478341,0.5940088644623757,20548
dmn_within,10,"('Dp1Yey', 'VEH')",50.0,0.8273135349154472,0.8256145268678665,0.8288075625896454,20548
dmn_within,10,"('Dp1Yey', 'VEH')",95.0,0.9609992884099483,0.9594475156487896,0.9625385209918021,20548
dmn_within,10,"('Dp1Yey', 'VEH')",99.0,1.000991396359168,0.9974533904623241,1.0043909770783503,20548
dmn_within,10,"('WT', 'LCTB92')",1.0,0.41178143858909605,0.40505117177963257,0.41703689098358154,26152
dmn_within,10,"('WT', 'LCTB92')",5.0,0.5393074706196785,0.5342502686008811,0.5440794095396996,26152
dmn_within,10,"('WT', 'LCTB92')",50.0,0.8308564200997353,0.8288244064897299,0.8327522603794932,26152
dmn_within,10,"('WT', 'LCTB92')",95.0,0.9844381900969892,0.982418341669254,0.9858436222188172,26152
dmn_within,10,"('WT', 'LCTB92')",99.0,1.0214397740177807,1.0195844173431396,1.0243315491825342,26152
dmn_within,10,"('WT', 'VEH')",1.0,0.5276335060596467,0.5201639831066132,0.5341465335711837,22416
dmn_within,10,"('WT', 'VEH')",5.0,0.6334891393780708,0.6287085818126797,0.6397391624748707,22416
